CONTACT_ID,WEEK_ID,ORDER_COUNT,QUANTITIY_COUNT
426582,202242,1,9
429574,202134,1,2
429574,202137,1,2
429574,202141,4,15
429574,202143,1,24
429574,202150,1,10
429574,202152,1,10
429574,202204,4,75
429574,202211,1,6
429574,202216,1,10
429574,202220,34,362
429574,202222,1,30
429574,202225,1,15
429574,202227,1,20
429574,202234,3,28
429574,202236,1,5
429574,202242,9,95
429574,202243,1,20
429574,202246,1,10
429574,202250,2,40
429574,202302,1,20
429574,202310,1,10
429574,202312,1,10
429574,202314,2,50
429574,202317,2,20
429574,202318,12,68
429646,202138,1,40
429646,202224,1,18
429646,202225,1,10
429646,202240,1,9
429646,202251,2,25
429646,202321,1,9
432577,202240,1,5
432577,202247,1,15
432577,202253,1,10
432577,202304,4,30
432577,202308,1,1
432577,202318,1,10
432577,202320,3,15
432577,202321,1,10
432577,202325,1,5
432832,202227,36,1216
432832,202322,1,50
443320,202145,6,195
443320,202149,11,317
443320,202211,2,60
443320,202247,1,300
443320,202248,1,150
443325,202132,1,40
443325,202133,2,20
443325,202137,2,30
443325,202139,1,40
443325,202141,12,117
443325,202142,1,2
443325,202151,2,30
443325,202203,1,30
443325,202210,3,85
443325,202215,3,45
443325,202217,2,30
443325,202218,1,10
443325,202220,10,180
443325,202222,1,20
443325,202233,1,10
443325,202239,1,10
443325,202245,2,41
443325,202247,1,15
443325,202249,6,110
443325,202250,1,50
443325,202305,1,10
443325,202311,1,40
443325,202314,1,20
443325,202318,19,336
443325,202323,1,10
443325,202324,1,10
443732,202128,1,50
443732,202132,1,50
443732,202134,1,40
443732,202135,2,30
443732,202137,4,118
443732,202138,2,104
443732,202139,1,50
443732,202140,2,100
443732,202141,1,5
443732,202142,2,20
443732,202143,9,330
443732,202144,3,70
443732,202145,4,280
443732,202146,5,718
443732,202147,1,90
443732,202149,3,900
443732,202150,1,100
443732,202151,2,150
443732,202152,3,250
443732,202153,1,50
443732,202206,1,30
443732,202211,2,8
443732,202213,1,10
443732,202217,5,165
443732,202218,1,100
443732,202220,6,187
443732,202221,1,60
443732,202222,1,20
443732,202225,1,30
443732,202226,1,100
443732,202234,1,30
443732,202239,2,65
443732,202240,2,115
443732,202245,1,150
443732,202248,1,300
443732,202251,2,250
443732,202253,6,405
443732,202301,6,650
443732,202302,4,400
443732,202303,2,150
443732,202305,7,1000
443732,202311,1,20
443732,202314,1,20
443732,202315,1,30
443732,202317,2,10
443732,202318,3,300
443732,202323,1,50
447979,202132,1,10
447979,202135,2,99
447979,202140,4,20
447979,202144,3,20
447979,202205,2,15
447979,202211,2,40
447979,202213,2,10
447979,202218,6,115
447979,202225,3,24
447979,202233,3,154
447979,202234,1,100
447979,202239,8,110
447979,202242,3,25
447979,202243,1,50
447979,202244,2,9
447979,202248,2,14
447979,202249,2,10
447979,202253,6,171
447979,202301,1,30
447979,202304,14,200
447979,202306,2,110
447979,202308,6,123
447979,202310,2,20
447979,202312,1,2
447979,202313,1,200
447979,202317,7,70
447979,202318,11,174
447979,202320,3,25
447979,202321,11,129
447979,202322,3,25
447979,202324,6,73
447979,202325,5,40
570850,202305,1,20
570850,202311,4,50
657048,202133,1,50
657048,202137,2,120
657048,202138,1,50
657048,202146,2,400
657048,202152,2,60
657048,202202,1,2
657048,202203,1,10
657048,202204,1,2
657048,202207,1,5
657048,202211,2,40
657048,202214,2,120
657048,202215,2,105
657048,202218,2,240
657048,202219,1,20
657048,202220,2,60
657048,202222,1,100
657048,202224,4,120
657048,202225,1,50
657048,202233,1,50
657048,202234,1,200
657048,202241,2,300
657048,202244,1,20
657048,202245,3,300
657048,202248,1,5
657048,202250,1,5
657048,202301,1,500
657048,202302,1,3
657048,202305,1,20
657050,202132,1,70
657050,202133,1,10
657050,202137,1,20
657050,202146,1,30
657050,202147,2,20
657050,202203,1,4
657050,202204,3,80
657050,202210,2,65
657050,202220,5,140
657050,202235,2,14
657050,202238,1,10
657050,202242,1,10
657050,202244,1,90
657050,202250,1,10
657050,202253,1,10
657050,202302,1,3
657050,202304,1,90
657050,202311,1,50
657050,202315,1,10
657050,202316,1,50
657050,202317,1,5
657050,202322,2,6
657050,202323,5,248
657053,202132,1,40
657053,202133,2,100
657053,202136,7,821
657053,202138,3,100
657053,202139,3,18
657053,202140,13,990
657053,202144,2,40
657053,202145,9,3080
657053,202148,3,80
657053,202149,2,100
657053,202151,1,250
657053,202204,2,10
657053,202206,1,100
657053,202220,8,730
657053,202223,1,100
657053,202224,3,145
657053,202232,7,510
657053,202233,2,150
657053,202236,1,50
657053,202237,3,350
657053,202239,5,765
657053,202240,1,100
657053,202241,2,24
657053,202245,2,55
657053,202247,3,102
657053,202248,1,100
657053,202251,1,100
657053,202301,1,100
657053,202303,9,170
657053,202314,2,80
657053,202316,1,8
